id,flatform,ticker,title,content,comment_time,stock_name,quantity,transaction_type,price_per_share,transaction_date,profit
102453572,toss,035420,,줍다.,2025-03-17T11:23:36+09:00,,,,,,
102450702,toss,035420,가즈아 관세에서 자유를,ㄱㄱ,2025-03-17T10:53:52+09:00,NAVER,100.0,구매,210000.0,3월 17일 10:23,
102446254,toss,035420,,모아모아,2025-03-17T10:15:14+09:00,NAVER,4.0,구매,209500.0,3월 17일 10:13,
102444202,toss,035420,,올라갈 호재가 없다. 1분기 실적 나올때 되야 좀 올라갈듯.,2025-03-17T10:00:13+09:00,,,,,,
102443688,toss,035420,,아침부터 네이버 주가가 쑥 어쩌고 하드마 역시나 ㅋㅋ,2025-03-17T09:56:39+09:00,,,,,,
102442342,toss,035420,,아직도 20만이네 ㅋㅋ 아 ㅋㅋㅋ,2025-03-17T09:46:22+09:00,,,,,,
