id,flatform,ticker,title,content,comment_time,stock_name,quantity,transaction_type,price_per_share,transaction_date,profit
102452980,toss,005490,,첨에 분명 31만 넘었었는데 와이라노이거,2025-03-17T11:17:37+09:00,,,,,,
102452024,toss,005490,잊고 있다 또 희석,슬슬 해뜰날을~,2025-03-17T11:07:16+09:00,POSCO홀딩스,3.0,구매,307000.0,3월 17일 10:52,
102450924,toss,005490,,힘을 내요 슈퍼포홀~~,2025-03-17T10:56:02+09:00,,,,,,
102450218,toss,005490,,이거 더 오르겠죠? ㅜㅜ 딴 플랫폼에서 60층인데....,2025-03-17T10:50:11+09:00,,,,,,
102449814,toss,005490,,60층계시나요....🥹,2025-03-17T10:48:16+09:00,,,,,,
102448044,toss,005490,,포스코도 봄이 오네요 ㅎ,2025-03-17T10:32:09+09:00,,,,,,
102447764,toss,005490,,모아가기,2025-03-17T10:28:59+09:00,POSCO홀딩스,1.0,구매,309000.0,3월 17일 09:10,
102445692,toss,005490,,이제 20만대는 영영보지않길 ~~~ !!! 드뎌 30층에서 노네요 . 포홀 !!!  너 숫자 5가 더 어울려?! 알지 ???,2025-03-17T10:11:02+09:00,,,,,,
102444512,toss,005490,,포스코 홀딩스 네이버 평단가 43만원 !,2025-03-17T10:02:29+09:00,,,,,,
102439468,toss,005490,현대제철 폐업가나?,과거 ㅡ 직장폐쇄 현재 ㅡ 희망퇴직 미래 ㅡ 정리해고 순인가요?  경쟁사 사라지고   현대차도 포스코 강판 쓰겠네,2025-03-17T09:29:23+09:00,,,,,,
102435954,toss,005490,,32층 계신가요,2025-03-17T09:11:01+09:00,,,,,,
