comment
삼성이 살아야 우리도 산다 기사퍼옴 ㅡ주주아님  https://n.news.naver.com/mnews/article/003/0013116457
ㄱㄱ
계속 추매해 봅니다!
재용오빠 나ㅜ내일 피부과 가애해ㅠ이거 아니잖아..
"예전에도 소개드렸던 모건 하우절의 <불변의 법칙>에서 탐욕과 두려움의 사이클에 대한 내용이 있는데, 투자 시에 굉장히 유용해서 미국 증시든 국내 증시든 개별 주식이든 항상 대입해 봅니다.  •우리는 좋은 상황이 영원할 거라고 믿는다.  •그러면 나쁜 이야기에 둔감해진다.  •그다음엔 나쁜 이야기를 무시한다.  •그다음엔 나쁜 이야기를 부인한다.  •그다음엔 나쁜 상황 앞에서 패닉에 빠진다.  •그다음엔 나쁜 상황을 받아들인다.  •이제 나쁜 상황이 영원할 거라고 믿는다.  •그러면 좋은 이야기에 둔감해진다.  •그다음엔 좋은 이야기를 무시한다.  •그다음엔 좋은 이야기를 부인한다.  •그다음엔 좋은 상황을 받아들인다.  •이제 좋은 상황이 영원할 거라고 믿는다.  사이클은 이렇게 흘러가는데, 저는 지금 삼성전자가 ‘좋은 이야기에 둔감해진다’ 단계에 있다고 봅니다. 최근 삼성전자에 대한 좋은 소식이 적지 않게 들리고 있지만, 대중과 언론은 크게 반응하지 않습니다.  투자자라면 언제 사서 언제 팔아야 할까요? 저는 항상 ‘나쁜 상황이 영원할 거라고 믿는다’ 단계에서 모으고, ‘좋은 상황이 영원할 거라고 믿는다’ 단계에서 서서히 빠져나오려고합니다.  모두가 좋은 상황이 영원할 거라고 믿는 단계가 언제 올진 모르지만, 합리적 낙관주의의 시각으로 인내를 갖고 계속 홀딩 예정입니다."
주주분들 미안합니다. 제가 덥석물고부터 꼬라박네요.........
주식을 하면서 느낀점 고점에서 팔았으면 저점을 기다린줄 알아야 한다 현금 들고있으면 손해보는것 같아 다른종목이라도 잡는다 이것이 문제 현금보유를 하고 종목선택했으면 그놈만 기다리고 두들겨 팬다
8만냥 가기위해..노력중.. 영차..영차...
60000
얜 왤케 개미 ㄸ꼬만큼 오르냐
6맠 언제가냐 본전만 되면 다 팔아버릴거다
그래가는거야
내 돈!!!
이젠 안녕 ㅠ 8.5만원 찍었다고 7만원대 탑승하고 몇달 또 마음 고생하다가... 또 언젠가 전고점 찍겠지요? 성투하시길
6만원 한번찍자 익절한만큼 애기들장난감이랑 와이프선물이랑 양가부모님 선물사드려야지 효도 한번 가즈아!!!
힘내줘
삼성이니까!
방긋
팔지말고 꽉붙잡고 담주초 58000 간다~~~~~
국장이다.
아이고 삼쪽아
오늘도 올라줘서 고맙다 삼성아 난 3일 기다려줄테니 3%로만 올라줘 오늘처럼!
팔지말고 꽉붙잡고 담주초 58000 간다~~~~~
국장이다.
아이고 삼쪽아
오늘도 올라줘서 고맙다 삼성아 난 3일 기다려줄테니 3%로만 올라줘 오늘처럼!
빨리 사서 내 배나 불려라 양키들아
정신안차리냐
꿈에 200마넌 안갚은 닝겐한테 전화와서 얘가 갚으려나? 하고 놀래다 깻는데 이거 길몽인가요? 삼성이 올라가서 내 마이나스 복구되나요?
탄핵이 되면 6만전자 탄핵이 안되면 4만전자
초반에 잘 올라가다가 왜그랴
에게
나이스샷 ㅋ
오늘 휴장인가요
이제 한 5개월만 지나면 물린지 1년임 ㅋㅋ
강제존버... 유산으로 남길지도 ㅠㅠ
정기예금 또 넣었다 생각하지뭐 ㅋ
나이스샷 ㅋ
오늘 휴장인가요
이제 한 5개월만 지나면 물린지 1년임 ㅋㅋ
강제존버... 유산으로 남길지도 ㅠㅠ
정기예금 또 넣었다 생각하지뭐 ㅋ
"일단 외인이 내일 만기인데도 200만주 이상 들어왔다는거에 집중해야함.  시외 55,200 마감  내일 기대해도 되겠죠?? ^-^"
외인다시 사내 가즈아
이거이 한국인이 제일 싫어하는 속도 아닌교
일단 분할익절..
S25에서 예전 S2의 향기기 난다
우리 삼쪽이 오늘도 엉금엉금 오르는구나 장하다 장해
뭔일 있나연 코스피 줄줄흐르네
"정부 발표 주요 내용  특별연장근로 인가 기간 확대  반도체 산업의 특성을 고려하여 1회당 인가 기간을 6개월로 확대하는 특례를 신설했습니다.  특별연장근로 재인가 신청 부담을 완화했습니다.  근로자 건강권 보호를 위해 건강검진 의무화 등 조치를 강화했습니다.    연구 개발(R&D) 투자 확대  내년에는 정부 R&D 30조원 시대를 열어 연구 개발 열기를 확산시킬 계획입니다.  인공지능(AI), 바이오, 양자 등 3대 게임체인저 분야와 반도체, 차세대 통신 모빌리티 등 국가 전략 분야에 집중 투자할 예정입니다.  https://m.blog.naver.com/grok_newsfeed/223794029026"
머저리 삼성전자
애들아 올릴땐 올리더라도 점심먹고 올리자 종가 에 1프로만올려줘
우리 삼쪽이 오늘도 엉금엉금 오르는구나 장하다 장해
뭔일 있나연 코스피 줄줄흐르네
"정부 발표 주요 내용  특별연장근로 인가 기간 확대  반도체 산업의 특성을 고려하여 1회당 인가 기간을 6개월로 확대하는 특례를 신설했습니다.  특별연장근로 재인가 신청 부담을 완화했습니다.  근로자 건강권 보호를 위해 건강검진 의무화 등 조치를 강화했습니다.    연구 개발(R&D) 투자 확대  내년에는 정부 R&D 30조원 시대를 열어 연구 개발 열기를 확산시킬 계획입니다.  인공지능(AI), 바이오, 양자 등 3대 게임체인저 분야와 반도체, 차세대 통신 모빌리티 등 국가 전략 분야에 집중 투자할 예정입니다.  https://m.blog.naver.com/grok_newsfeed/223794029026"
머저리 삼성전자
