id,platform,ticker,stock_name,title,content,comment_time,quantity,transaction_type,price_per_share,transaction_date,profit
102434222,toss,000720,현대건설,,32680 쓸라다가 오타나서 36800 에 산겨?,2025-03-17T09:02:46+09:00,,,,,
102433542,toss,000720,현대건설,,많은거 안바랄께 5%로만 올라줘 부탁이야...,2025-03-17T08:54:20+09:00,,,,,
102433106,toss,000720,현대건설,,뭔가 정보가 있었나 ㅋㅋ,2025-03-17T08:42:09+09:00,,,,,
102432776,toss,000720,현대건설,,알람보고 깜짝놀라 들어왔네요 12%토스,2025-03-17T08:26:02+09:00,,,,,
102432570,toss,000720,현대건설,,넥스트레이드 현대건설 오늘부터 시작이이에요 오류 아닙니다,2025-03-17T08:12:41+09:00,,,,,
102432558,toss,000720,현대건설,,근데 장대음봉보니까 진짜 오른건 맞는데,2025-03-17T08:12:20+09:00,,,,,
102432518,toss,000720,현대건설,,음 키움도 떴다구요?  그럼 거짓말아닌건가?  그럼 혹시 대체거래소 넥스트트레이드랑 관련 있나? 천천히 매집 할려고 대기 중인데 이러면 못 사잖아요  안타깝네~~,2025-03-17T08:10:05+09:00,,,,,
102432488,toss,000720,현대건설,,오~ 9시전에 시작하다니 대단~~ 오늘 예측치 미리 쏘는거임~~ 이거 상승할테니 사라고 불법 거래 조장 하는거 아닌가?  아님 현대건설 돈받고 광고 하는거임?,2025-03-17T08:08:01+09:00,,,,,
102432432,toss,000720,현대건설,오류 아닌 거 같은데요,영웅문에서도 알림 오네야,2025-03-17T08:05:12+09:00,,,,,
102432430,toss,000720,현대건설,,건설도 로템이처럼 3배 폭등하즈아,2025-03-17T08:05:11+09:00,,,,,
102432388,toss,000720,현대건설,,토스 이것들 요즘 엉망이네ㅡ사업영역확장한다고 정신못차리는군,2025-03-17T08:03:38+09:00,,,,,
102432378,toss,000720,현대건설,,오류 지리네요ㅋㅋ,2025-03-17T08:03:32+09:00,,,,,
102432364,toss,000720,현대건설,토쓰!,일 안해? 12%? 하는건가? ㅎ,2025-03-17T08:03:10+09:00,,,,,
102432350,toss,000720,현대건설,,?,2025-03-17T08:02:40+09:00,,,,,
102432432,toss,000720,현대건설,오류 아닌 거 같은데요,영웅문에서도 알림 오네야,2025-03-17T08:05:12+09:00,,,,,
102432430,toss,000720,현대건설,,건설도 로템이처럼 3배 폭등하즈아,2025-03-17T08:05:11+09:00,,,,,
102432388,toss,000720,현대건설,,토스 이것들 요즘 엉망이네ㅡ사업영역확장한다고 정신못차리는군,2025-03-17T08:03:38+09:00,,,,,
102432378,toss,000720,현대건설,,오류 지리네요ㅋㅋ,2025-03-17T08:03:32+09:00,,,,,
102432364,toss,000720,현대건설,토쓰!,일 안해? 12%? 하는건가? ㅎ,2025-03-17T08:03:10+09:00,,,,,
102432350,toss,000720,현대건설,,?,2025-03-17T08:02:40+09:00,,,,,
102432334,toss,000720,현대건설,,아직 장 시작 안한거 아니에요? 뭐지?,2025-03-17T08:02:13+09:00,,,,,
102432328,toss,000720,현대건설,,무슨일?,2025-03-17T08:02:08+09:00,,,,,
102432322,toss,000720,현대건설,,뭐지?? 오류인가,2025-03-17T08:02:00+09:00,,,,,
102432316,toss,000720,현대건설,,? 12프로?,2025-03-17T08:01:38+09:00,,,,,
